,Game Number,Date,Location,Opponent,Result,Passing Completion,Passing Attempts,Passing Percentage,Passing Yards,Passing TDs,Rushing Attempts,Rushing Yards,Rushing Average,Rushing TDs,Offensive Plays,Offensive Yards,Offensive Average,First Down Pass,First Down Rush,First Down Penalties,First Down Total,Penalties,Penalty Yards,Fumbles,Interceptions,Total Turnovers
1,1,2015-09-05,@,Temple,L (10-27),11,25,44.0,103,0,27,77,2.9,1,52,180,3.5,4,4,1,9,6,39,0,1,1
2,2,2015-09-12,,Buffalo,W (27-14),14,27,51.9,128,1,39,200,5.1,2,66,328,5.0,5,9,1,15,7,65,0,0,0
3,3,2015-09-19,,Rutgers,W (28-3),10,19,52.6,141,0,41,330,8.0,4,60,471,7.9,4,13,0,17,8,80,0,1,1
4,4,2015-09-26,,San Diego State,W (37-21),22,36,61.1,328,3,34,72,2.1,0,70,400,5.7,14,2,3,19,5,37,1,0,1
5,5,2015-10-03,,Army,W (20-14),10,19,52.6,156,1,34,108,3.2,1,53,264,5.0,5,7,0,12,3,20,0,0,0
6,6,2015-10-10,,Indiana,W (29-7),22,40,55.0,266,2,32,154,4.8,2,72,420,5.8,14,5,3,22,3,30,1,0,1
7,7,2015-10-17,@,Ohio State,L (10-38),7,13,53.8,120,1,40,195,4.9,0,53,315,5.9,2,8,4,14,3,22,1,0,1
8,8,2015-10-24,N,Maryland,W (31-30),13,30,43.3,315,3,31,48,1.5,1,61,363,6.0,11,4,1,16,6,39,3,0,3
9,9,2015-10-31,,Illinois,W (39-0),22,33,66.7,280,3,37,120,3.2,2,70,400,5.7,12,9,2,23,3,25,2,0,2
10,10,2015-11-07,@,Northwestern,L (21-23),22,41,53.7,237,1,30,125,4.2,2,71,362,5.1,8,6,3,17,9,70,1,1,2
11,11,2015-11-21,,Michigan,L (16-28),13,32,40.6,137,1,22,70,3.2,0,54,207,3.8,4,4,6,14,3,30,1,0,1
12,12,2015-11-28,@,Michigan State,L (16-55),27,47,57.4,296,2,25,122,4.9,0,72,418,5.8,10,9,1,20,6,45,2,2,4
13,13,2016-01-02,N,Georgia*,L (17-24),22,42,52.4,281,2,32,120,3.8,0,74,401,5.4,12,3,1,16,6,39,0,1,1
1,1,2016-09-03,,Kent State,W (33-13),16,31,51.6,209,2,38,145,3.8,1,69,354,5.1,9,9,1,19,5,55,1,0,1
2,2,2016-09-10,@,Pittsburgh,L (39-42),24,35,68.6,332,1,31,74,2.4,4,66,406,6.2,12,6,2,20,4,35,3,1,4
3,3,2016-09-17,,Temple,W (34-27),18,24,75.0,287,1,37,116,3.1,3,61,403,6.6,8,8,5,21,7,62,2,1,3
4,4,2016-09-24,@,Michigan,L (10-49),16,27,59.3,121,1,28,70,2.5,0,55,191,3.5,6,3,3,12,2,13,1,1,2
5,5,2016-10-01,,Minnesota,W (29-26),19,42,45.2,335,1,28,136,4.9,2,70,471,6.7,8,7,4,19,5,65,0,0,0
6,6,2016-10-08,,Maryland,W (38-14),10,19,52.6,152,2,62,372,6.0,3,81,524,6.5,5,21,2,28,6,45,1,0,1
7,7,2016-10-22,,Ohio State,W (24-21),8,23,34.8,154,1,33,165,5.0,1,56,319,5.7,6,6,1,13,1,5,1,0,1
8,8,2016-10-29,@,Purdue,W (62-24),13,25,52.0,254,3,38,257,6.8,5,63,511,8.1,10,11,3,24,11,91,0,0,0
9,9,2016-11-05,,Iowa,W (41-14),11,18,61.1,240,2,52,359,6.9,3,70,599,8.6,9,15,0,24,9,86,0,0,0
10,10,2016-11-12,@,Indiana,W (45-31),16,30,53.3,332,2,45,77,1.7,3,75,409,5.5,11,5,2,18,5,40,0,2,2
11,11,2016-11-19,@,Rutgers,W (39-0),17,33,51.5,210,1,49,339,6.9,3,82,549,6.7,8,16,1,25,3,15,1,0,1
12,12,2016-11-26,,Michigan State,W (45-12),18,24,75.0,386,4,33,77,2.3,2,57,463,8.1,14,4,0,18,1,15,0,0,0
13,13,2016-12-03,N,Wisconsin,W (38-31),22,31,71.0,384,4,29,51,1.8,1,60,435,7.3,16,3,2,21,3,25,2,0,2
14,14,2017-01-02,N,Southern California*,L (49-52),18,29,62.1,254,4,33,211,6.4,3,62,465,7.5,12,8,3,23,5,65,0,3,3
1,1,2017-09-02,,Akron,W (52-0),21,31,67.7,322,2,34,247,7.3,4,65,569,8.8,14,7,3,24,5,45,0,1,1
2,2,2017-09-09,,Pittsburgh,W (33-14),15,28,53.6,164,3,24,148,6.2,1,52,312,6.0,7,6,1,14,1,15,0,1,1
3,3,2017-09-16,,Georgia State,W (56-0),21,29,72.4,360,5,24,166,6.9,3,53,526,9.9,11,8,0,19,5,45,0,0,0
4,4,2017-09-23,@,Iowa,W (21-19),31,48,64.6,284,1,51,295,5.8,1,99,579,5.8,14,15,0,29,8,90,1,1,2
